Treatment,Rep,Row,Col,Day,Cleared
LS,1,1,a,2,0
LS,1,2,a,2,0
LS,1,3,a,2,0
LS,1,4,a,2,0
LS,1,5,a,2,0
LS,1,6,a,2,0
LS,1,7,a,2,1
LS,1,8,a,2,0
LS,1,9,a,2,0
LS,1,10,a,2,0
LS,1,11,a,2,1
LS,1,12,a,2,1
LS,1,13,a,2,0
LS,1,14,a,2,1
LS,1,15,a,2,1
LS,1,16,a,2,1
LS,1,17,a,2,0
LS,1,18,a,2,0
LS,1,19,a,2,0
LS,1,20,a,2,0
LS,1,1,a,4,0
LS,1,2,a,4,0
LS,1,3,a,4,0
LS,1,4,a,4,0
LS,1,5,a,4,1
LS,1,6,a,4,1
LS,1,7,a,4,1
LS,1,8,a,4,0
LS,1,9,a,4,0
LS,1,10,a,4,1
LS,1,11,a,4,1
LS,1,12,a,4,1
LS,1,13,a,4,1
LS,1,14,a,4,1
LS,1,15,a,4,1
LS,1,16,a,4,1
LS,1,17,a,4,0
LS,1,18,a,4,0
LS,1,19,a,4,0
LS,1,20,a,4,0
LS,1,1,b,2,0
LS,1,2,b,2,0
LS,1,3,b,2,0
LS,1,4,b,2,0
LS,1,5,b,2,0
LS,1,6,b,2,0
LS,1,7,b,2,0
LS,1,8,b,2,0
LS,1,9,b,2,0
LS,1,10,b,2,0
LS,1,11,b,2,0
LS,1,12,b,2,0
LS,1,13,b,2,0
LS,1,14,b,2,0
LS,1,15,b,2,0
LS,1,16,b,2,0
LS,1,17,b,2,1
LS,1,18,b,2,0
LS,1,19,b,2,0
LS,1,20,b,2,0
LS,1,1,b,4,0
LS,1,2,b,4,0
LS,1,3,b,4,0
LS,1,4,b,4,0
LS,1,5,b,4,0
LS,1,6,b,4,0
LS,1,7,b,4,0
LS,1,8,b,4,0
LS,1,9,b,4,0
LS,1,10,b,4,0
LS,1,11,b,4,0
LS,1,12,b,4,0
LS,1,13,b,4,0
LS,1,14,b,4,0
LS,1,15,b,4,0
LS,1,16,b,4,0
LS,1,17,b,4,1
LS,1,18,b,4,0
LS,1,19,b,4,0
LS,1,20,b,4,0
LS,1,1,c,2,0
LS,1,2,c,2,0
LS,1,3,c,2,0
