Length,Hardness,Treatment,Day,Rep,mean_norm
L,H,15C,4,1,0.934375
L,H,15C,4,2,0.8625
L,H,15C,4,3,0.9375
L,H,15C,4,4,0.009375
L,H,15C,4,5,0.490625
L,H,15C,4,6,0.915625
L,H,15C,4,7,0.7
L,H,15C,4,8,0.83125
L,H,15C,4,9,0.190625
L,H,15C,4,10,0.9375
L,H,15C,4,11,0.915625
L,H,15C,4,12,0.928125
L,H,15C,4,13,0.590625
L,H,15C,4,14,0.575
L,H,15C,4,15,0.9375
L,H,15C,4,16,0.34375
L,H,15C,4,17,0.859375
L,H,15C,4,18,0.7375
L,H,15C,4,19,0.884375
L,H,15C,4,20,0.49375
L,S,15P,4,1,0.521875
L,S,15P,4,2,0.784375
L,S,15P,4,3,0
L,S,15P,4,4,0.096875
L,S,15P,4,5,0.934375
L,S,15P,4,6,0
L,S,15P,4,7,0.078125
L,S,15P,4,8,0.015625
L,S,15P,4,9,0
L,S,15P,4,10,0
L,S,15P,4,11,0.34375
L,S,15P,4,12,0.196875
L,S,15P,4,13,0.915625
L,S,15P,4,14,0
L,S,15P,4,15,0
L,S,15P,4,16,0.40625
L,S,15P,4,17,0.48125
L,S,15P,4,18,0.640625
L,S,15P,4,19,0.9375
L,S,15P,4,20,0.928125
S,H,5C,4,1,0
S,H,5C,4,2,0.541666667
S,H,5C,4,3,0.533333333
S,H,5C,4,4,0.808333333
S,H,5C,4,5,0.35
S,H,5C,4,6,0.766666667
S,H,5C,4,7,0.383333333
S,H,5C,4,8,0.5
S,H,5C,4,9,0
S,H,5C,4,10,0
S,H,5C,4,11,0.508333333
S,H,5C,4,12,0.1
S,H,5C,4,13,0.758333333
S,H,5C,4,14,0.833333333
S,H,5C,4,15,0.808333333
S,H,5C,4,16,0.833333333
S,H,5C,4,17,0.833333333
S,H,5C,4,18,0
S,H,5C,4,19,0.275
S,H,5C,4,20,0.833333333
S,S,5P,4,1,0.083333333
S,S,5P,4,2,0.166666667
S,S,5P,4,3,0.058333333
S,S,5P,4,4,0.016666667
S,S,5P,4,5,0.216666667
S,S,5P,4,6,0.075
S,S,5P,4,7,0.408333333
S,S,5P,4,8,0
S,S,5P,4,9,0.008333333
S,S,5P,4,10,0.825
S,S,5P,4,11,0
S,S,5P,4,12,0.75
S,S,5P,4,13,0
S,S,5P,4,14,0
S,S,5P,4,15,0
S,S,5P,4,16,0.45
S,S,5P,4,17,0.008333333
S,S,5P,4,18,0.275
S,S,5P,4,19,0.075
S,S,5P,4,20,0
