Length,Hardness,Day,ColonyID,Numbercleared
L,H,2,1,0
L,H,2,5,2
L,H,2,9,0
L,H,2,13,19
L,H,2,17,31
L,H,2,4,0
L,H,2,8,24
L,H,2,12,1
L,H,2,16,12
L,H,2,20,0
L,H,2,3,2
L,H,2,7,3
L,H,2,11,0
L,H,2,15,42
L,H,2,19,0
L,H,2,2,18
L,H,2,6,0
L,H,2,10,16
L,H,2,14,2
L,H,2,18,30
L,S,2,3,15
L,S,2,7,19
L,S,2,11,300
L,S,2,15,72
L,S,2,19,0
L,S,2,2,264
L,S,2,6,31
L,S,2,10,142
L,S,2,14,237
L,S,2,18,252
L,S,2,1,93
L,S,2,5,136
L,S,2,9,0
L,S,2,13,222
L,S,2,17,297
L,S,2,4,44
L,S,2,8,43
L,S,2,12,33
L,S,2,16,0
L,S,2,20,1
S,H,2,2,18
S,H,2,6,3
S,H,2,10,7
S,H,2,14,0
S,H,2,18,12
S,H,2,1,0
S,H,2,5,23
S,H,2,9,0
S,H,2,13,47
S,H,2,17,95
S,H,2,4,1
S,H,2,8,61
S,H,2,12,1
S,H,2,16,0
S,H,2,20,0
S,H,2,3,0
S,H,2,7,0
S,H,2,11,100
S,H,2,15,27
S,H,2,19,0
S,S,2,4,44
S,S,2,8,23
S,S,2,12,16
S,S,2,16,92
S,S,2,20,13
S,S,2,3,79
S,S,2,7,14
S,S,2,11,98
S,S,2,15,89
S,S,2,19,1
S,S,2,2,100
S,S,2,6,4
S,S,2,10,99
S,S,2,14,61
S,S,2,18,69
S,S,2,1,27
S,S,2,5,55
S,S,2,9,3
S,S,2,13,56
S,S,2,17,98
