median,min,max,overlap,idx
45,44,67,0.99712,1
45,44,67,0.99729,1
45,44,70,0.99732,1
45,44,70,0.99724,1
45,44,68,0.99633,1
45,44,67,0.99661,1
45,44,67,0.99376,1
45,44,66,0.9957,1
45,44,65,0.99627,1
45,44,69,0.9973,1
45,44,65,0.9977,1
45,44,69,0.99705,1
45,44,68,0.99683,1
45,44,74,0.9968,1
45,44,67,0.9962,1
45,44,66,0.99358,1
45,44,65,0.99708,1
45,44,70,0.99467,1
45,44,70,0.99465,1
45,44,75,0.99628,1
45,44,69,0.99495,1
45,44,67,0.99716,1
45,44,67,0.99638,1
45,44,71,0.99675,1
45,44,66,0.9963,1
45,44,65,0.99706,1
45,44,71,0.99618,1
45,44,70,0.9963,1
45,44,67,0.99546,1
45,44,65,0.99633,1
45,44,67,0.99587,1
45,44,67,0.99628,1
45,44,69,0.997,1
45,44,66,0.99603,1
45,44,69,0.99807,1
45,44,69,0.99533,1
45,44,65,0.99643,1
45,44,68,0.99466,1
45,44,76,0.9972,1
45,44,69,0.99642,1
45,44,67,0.99679,1
45,44,67,0.99698,1
45,44,69,0.99699,1
45,44,71,0.99668,1
45,44,65,0.99572,1
45,44,67,0.99547,1
45,44,67,0.99701,1
45,44,71,0.99659,1
45,44,76,0.99576,1
45,44,65,0.998,1
45,44,68,0.99616,1
45,44,68,0.99535,1
45,44,68,0.99607,1
45,44,69,0.99608,1
45,44,69,0.99459,1
45,44,68,0.99664,1
45,44,69,0.99458,1
45,44,66,0.9971,1
45,44,66,0.99645,1
45,44,69,0.99699,1
45,44,70,0.99608,1
45,44,69,0.99515,1
45,44,70,0.99772,1
45,44,69,0.99699,1
45,44,68,0.99636,1
45,44,79,0.99382,1
45,44,66,0.99329,1
45,44,66,0.99824,1
45,44,68,0.99681,1
45,44,66,0.99729,1
45,44,66,0.99736,1
45,44,66,0.99468,1
45,44,71,0.99676,1
45,44,68,0.99591,1
45,44,68,0.99757,1
45,44,67,0.99765,1
45,44,69,0.99573,1
45,44,71,0.99741,1
45,44,65,0.99303,1
45,44,65,0.99555,1
