Length,Hardness,Day,ColonyID,Propcleared
L,H,4,1,0.003333333
L,H,4,5,0.026666667
L,H,4,9,0
L,H,4,13,0.99
L,H,4,17,0.263333333
L,H,4,4,0.016666667
L,H,4,8,0.17
L,H,4,12,0.08
L,H,4,16,0.626666667
L,H,4,20,0
L,H,4,3,0.016666667
L,H,4,7,0.01
L,H,4,11,0.173333333
L,H,4,15,0.263333333
L,H,4,19,0
L,H,4,2,0.466666667
L,H,4,6,0.033333333
L,H,4,10,0.073333333
L,H,4,14,0.046666667
L,H,4,18,0.32
L,S,4,3,0.23
L,S,4,7,0.09
L,S,4,11,1
L,S,4,15,0.866666667
L,S,4,19,0.003333333
L,S,4,2,1
L,S,4,6,0.843333333
L,S,4,10,0.966666667
L,S,4,14,1
L,S,4,18,1
L,S,4,1,0.4
L,S,4,5,0.636666667
L,S,4,9,0.016666667
L,S,4,13,1
L,S,4,17,1
L,S,4,4,0.393333333
L,S,4,8,0.34
L,S,4,12,0.18
L,S,4,16,0
L,S,4,20,0.003333333
S,H,4,2,1
S,H,4,6,0.27
S,H,4,10,0.28
S,H,4,14,0.03
S,H,4,18,0.52
S,H,4,1,0.07
S,H,4,5,0.5
S,H,4,9,0.3
S,H,4,13,1
S,H,4,17,1
S,H,4,4,0.3
S,H,4,8,0.85
S,H,4,12,0.04
S,H,4,16,0
S,H,4,20,0.02
S,H,4,3,0
S,H,4,7,0
S,H,4,11,1
S,H,4,15,0.55
S,H,4,19,0
S,S,4,4,0.89
S,S,4,8,0.71
S,S,4,12,0.92
S,S,4,16,0.97
S,S,4,20,0.7
S,S,4,3,0.89
S,S,4,7,0.32
S,S,4,11,1
S,S,4,15,0.99
S,S,4,19,0.01
S,S,4,2,1
S,S,4,6,0.08
S,S,4,10,1
S,S,4,14,1
S,S,4,18,1
S,S,4,1,0.35
S,S,4,5,0.98
S,S,4,9,0.61
S,S,4,13,0.89
S,S,4,17,1
